id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700001,Boston,Cleveland,240,99,102,3+,3+
21700002,Houston,Golden State,240,122,121,3+,3+
21700003,Charlotte,Detroit,240,90,102,3+,3+
21700004,Brooklyn,Indiana,240,131,140,3+,3+
21700005,Miami,Orlando,240,109,116,3+,3+
21700006,Philadelphia,Washington,240,115,120,3+,3+
21700007,Milwaukee,Boston,240,108,100,3+,B2B
21700008,New Orleans,Memphis,240,91,103,3+,3+
21700009,Atlanta,Dallas,240,117,111,3+,3+
21700010,Denver,Utah,240,96,106,3+,3+
21700011,Minnesota,San Antonio,240,99,107,3+,3+
21700012,Portland,Phoenix,240,124,76,3+,3+
21700013,Houston,Sacramento,240,105,100,B2B,3+
21700014,Chicago,Toronto,240,100,117,3+,3+
21700015,New York,Oklahoma City,240,84,105,3+,3+
21700016,LA Clippers,LA Lakers,240,108,92,3+,3+
21700017,Atlanta,Charlotte,240,91,109,1,1
21700018,Portland,Indiana,240,114,96,1,1
21700019,Boston,Philadelphia,240,102,92,3IN4,1
21700020,Detroit,Washington,240,111,115,1,1
21700021,Cleveland,Milwaukee,240,116,97,2,1
21700022,Orlando,Brooklyn,240,121,126,1,1
21700023,Utah,Minnesota,240,97,100,1,1
21700024,Sacramento,Dallas,240,93,88,1,1
21700025,Golden State,New Orleans,239.83,128,120,2,1
21700026,LA Lakers,Phoenix,240,132,130,B2B,1
21700027,Philadelphia,Toronto,240,94,128,3IN4-B2B,1
21700028,Orlando,Cleveland,240,114,93,3IN4-B2B,B2B
21700029,Indiana,Miami,240,108,112,3IN4-B2B,2
21700030,Detroit,New York,240,111,107,3IN4-B2B,1
21700031,San Antonio,Chicago,240,87,77,2,1
21700032,Dallas,Houston,240,91,107,3IN4-B2B,2
21700033,Golden State,Memphis,240,101,111,B2B,2
21700034,Portland,Milwaukee,240,110,113,3IN4-B2B,3IN4-B2B
21700035,Sacramento,Denver,240,79,96,3IN4-B2B,2
21700036,Oklahoma City,Utah,240,87,96,1,3IN4-B2B
21700037,Phoenix,LA Clippers,240,88,130,3IN4-B2B,1
21700038,Atlanta,Brooklyn,240,104,116,1,1
21700039,Minnesota,Oklahoma City,240,115,113,1,3IN4-B2B
21700040,New Orleans,LA Lakers,240,119,112,1,3IN4
21700041,Philadelphia,Detroit,240,97,86,3IN4,3IN4
21700042,Atlanta,Miami,240,93,104,3IN4-B2B,1
21700043,Memphis,Houston,240,98,90,1,1
21700044,Charlotte,Milwaukee,240,94,103,2,3IN4
21700045,Golden State,Dallas,240,133,103,3IN4,3IN4
21700046,Toronto,San Antonio,240,97,101,1,1
21700047,Washington,Denver,240,109,104,2,1
21700048,Sacramento,Phoenix,240,115,117,3IN4,3IN4
21700049,Chicago,Cleveland,240,112,119,2,2
21700050,Brooklyn,Orlando,240,121,125,1,2
21700051,New York,Boston,240,89,110,2,3+
21700052,Indiana,Minnesota,240,130,107,2,1
21700053,New Orleans,Portland,240,93,103,1,2
21700054,Utah,LA Clippers,240,84,102,2,2
21700055,Denver,Charlotte,240,93,110,1,1
21700056,Minnesota,Detroit,240,101,122,3IN4-B2B,1
21700057,Houston,Philadelphia,240,105,104,1,1
21700058,Cleveland,Brooklyn,240,107,112,B2B,3IN4-B2B
21700059,San Antonio,Miami,240,117,100,1,1
21700060,Indiana,Oklahoma City,240,96,114,B2B,2
21700061,Memphis,Dallas,240,94,103,1,1
21700062,Utah,Phoenix,240,88,97,B2B,1
21700063,Toronto,Golden State,240,112,117,1,1
21700064,Washington,LA Lakers,265,99,102,1,2
21700065,Atlanta,Chicago,240,86,91,2,1
21700066,Dallas,Memphis,240,91,96,3IN4-B2B,3IN4-B2B
21700067,Boston,Milwaukee,240,96,89,1,2
21700068,LA Clippers,Portland,240,104,103,1,1
21700069,New Orleans,Sacramento,240,114,106,1,2
21700070,Houston,Charlotte,240,109,93,1,1
21700071,San Antonio,Orlando,240,87,114,1,2
21700072,Denver,Atlanta,240,105,100,1,B2B
21700073,Brooklyn,New York,240,86,107,3IN4,2
21700074,Oklahoma City,Minnesota,240,116,119,1,3IN4
21700075,Washington,Golden State,240,117,120,1,1
21700076,Toronto,LA Lakers,240,101,92,1,1
21700077,Cleveland,New Orleans,240,101,123,2,1
21700078,Boston,Miami,240,96,90,1,2
21700079,Oklahoma City,Chicago,240,101,69,3IN4-B2B,1
21700080,Houston,Memphis,240,89,103,3IN4-B2B,3IN4
