DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
2017-2018 Regular Season,0021700001,10/17/17,8:00 PM,Boston,Cleveland,240,99,102,3+,3+,Box Score
2017-2018 Regular Season,0021700002,10/17/17,10:30 PM,Houston,Golden State,240,122,121,3+,3+,Box Score
2017-2018 Regular Season,0021700003,10/18/17,7:00 PM,Charlotte,Detroit,240,90,102,3+,3+,Box Score
2017-2018 Regular Season,0021700004,10/18/17,7:00 PM,Brooklyn,Indiana,240,131,140,3+,3+,Box Score
2017-2018 Regular Season,0021700005,10/18/17,7:00 PM,Miami,Orlando,240,109,116,3+,3+,Box Score
2017-2018 Regular Season,0021700006,10/18/17,7:00 PM,Philadelphia,Washington,240,115,120,3+,3+,Box Score
2017-2018 Regular Season,0021700007,10/18/17,7:30 PM,Milwaukee,Boston,240,108,100,3+,B2B,Box Score
2017-2018 Regular Season,0021700008,10/18/17,8:00 PM,New Orleans,Memphis,240,91,103,3+,3+,Box Score
2017-2018 Regular Season,0021700009,10/18/17,8:30 PM,Atlanta,Dallas,240,117,111,3+,3+,Box Score
2017-2018 Regular Season,0021700010,10/18/17,9:00 PM,Denver,Utah,240,96,106,3+,3+,Box Score
2017-2018 Regular Season,0021700011,10/18/17,9:30 PM,Minnesota,San Antonio,240,99,107,3+,3+,Box Score
2017-2018 Regular Season,0021700012,10/18/17,10:00 PM,Portland,Phoenix,240,124,76,3+,3+,Box Score
2017-2018 Regular Season,0021700013,10/18/17,10:00 PM,Houston,Sacramento,240,105,100,B2B,3+,Box Score
2017-2018 Regular Season,0021700014,10/19/17,7:30 PM,Chicago,Toronto,240,100,117,3+,3+,Box Score
2017-2018 Regular Season,0021700015,10/19/17,8:00 PM,New York,Oklahoma City,240,84,105,3+,3+,Box Score
2017-2018 Regular Season,0021700016,10/19/17,10:30 PM,LA Clippers,LA Lakers,240,108,92,3+,3+,Box Score
2017-2018 Regular Season,0021700017,10/20/17,7:00 PM,Atlanta,Charlotte,240,91,109,1,1,Box Score
2017-2018 Regular Season,0021700018,10/20/17,7:00 PM,Portland,Indiana,240,114,96,1,1,Box Score
2017-2018 Regular Season,0021700019,10/20/17,7:00 PM,Boston,Philadelphia,240,102,92,3IN4,1,Box Score
2017-2018 Regular Season,0021700020,10/20/17,7:00 PM,Detroit,Washington,240,111,115,1,1,Box Score
2017-2018 Regular Season,0021700021,10/20/17,7:00 PM,Cleveland,Milwaukee,240,116,97,2,1,Box Score
2017-2018 Regular Season,0021700022,10/20/17,7:30 PM,Orlando,Brooklyn,240,121,126,1,1,Box Score
2017-2018 Regular Season,0021700023,10/20/17,8:00 PM,Utah,Minnesota,240,97,100,1,1,Box Score
2017-2018 Regular Season,0021700024,10/20/17,8:30 PM,Sacramento,Dallas,240,93,88,1,1,Box Score
2017-2018 Regular Season,0021700025,10/20/17,9:30 PM,Golden State,New Orleans,239.83,128,120,2,1,Box Score
2017-2018 Regular Season,0021700026,10/20/17,10:00 PM,LA Lakers,Phoenix,240,132,130,B2B,1,Box Score
2017-2018 Regular Season,0021700027,10/21/17,7:30 PM,Philadelphia,Toronto,240,94,128,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700028,10/21/17,8:00 PM,Orlando,Cleveland,240,114,93,3IN4-B2B,B2B,Box Score
2017-2018 Regular Season,0021700029,10/21/17,8:00 PM,Indiana,Miami,240,108,112,3IN4-B2B,2,Box Score
